"","stocks.AAPL","stocks.MSFT","stocks.PYPL"
"2018-05-08",186.050003,95.809998,75.720001
"2018-05-09",187.360001,96.940002,77.010002
"2018-05-10",190.039993,97.910004,79.190002
"2018-05-11",188.589996,97.699997,79.199997
"2018-05-14",188.149994,98.029999,78.809998
"2018-05-15",186.440002,97.32,77.790001
"2018-05-16",188.179993,97.150002,77.82
"2018-05-17",186.990005,96.18,79.190002
"2018-05-18",186.309998,96.360001,80.790001
"2018-05-21",187.630005,97.599998,81.25
"2018-05-22",187.160004,97.5,80.620003
"2018-05-23",188.360001,98.660004,81.080002
"2018-05-24",188.149994,98.309998,81.550003
"2018-05-25",188.580002,98.360001,80.959999
"2018-05-29",187.899994,98.010002,80.730003
"2018-05-30",187.5,98.949997,81.599998
"2018-05-31",186.869995,98.839996,82.07
"2018-06-01",190.240005,100.790001,83.25
"2018-06-04",191.830002,101.669998,84.57
"2018-06-05",193.309998,102.190002,85.050003
"2018-06-06",193.979996,102.489998,85.209999
"2018-06-07",193.460007,100.879997,83.269997
"2018-06-08",191.699997,101.629997,84.339996
"2018-06-11",191.229996,101.050003,83.889999
"2018-06-12",192.279999,101.309998,85.019997
"2018-06-13",190.699997,100.849998,85.269997
"2018-06-14",190.800003,101.419998,85.610001
"2018-06-15",188.839996,100.129997,85.309998
"2018-06-18",188.740005,100.860001,85.849998
"2018-06-19",185.690002,100.860001,84.519997
"2018-06-20",186.5,101.870003,85.949997
"2018-06-21",185.460007,101.139999,85.970001
"2018-06-22",184.919998,100.410004,85.120003
"2018-06-25",182.169998,98.389999,82.190002
"2018-06-26",184.429993,99.080002,82.32
"2018-06-27",184.160004,97.540001,80.669998
"2018-06-28",185.5,98.629997,82.480003
"2018-06-29",185.110001,98.610001,83.269997
"2018-07-02",187.179993,100.010002,83.889999
"2018-07-03",183.919998,99.050003,83.269997
"2018-07-05",185.399994,99.760002,84.589996
"2018-07-06",187.970001,101.160004,85.940002
"2018-07-09",190.580002,101.849998,86.230003
"2018-07-10",190.350006,102.120003,86.169998
"2018-07-11",187.880005,101.980003,86.25
"2018-07-12",191.029999,104.190002,89.129997
"2018-07-13",191.330002,105.43,87.989998
"2018-07-16",190.910004,104.910004,87.769997
"2018-07-17",191.449997,105.949997,88.580002
"2018-07-18",190.399994,105.120003,88.220001
"2018-07-19",191.880005,104.400002,87.379997
"2018-07-20",191.440002,106.269997,87.470001
"2018-07-23",191.610001,107.970001,89.239998
"2018-07-24",193,107.660004,91.410004
"2018-07-25",194.820007,110.830002,91.370003
"2018-07-26",194.210007,109.620003,89.139999
"2018-07-27",190.979996,107.68,85.459999
"2018-07-30",189.910004,105.370003,82.389999
"2018-07-31",190.289993,106.080002,82.139999
"2018-08-01",201.5,106.279999,83.459999
"2018-08-02",207.389999,107.57,85.529999
"2018-08-03",207.990005,108.040001,85.190002
"2018-08-06",209.070007,108.129997,85.769997
"2018-08-07",207.110001,108.879997,86.300003
"2018-08-08",207.25,109.489998,86.739998
"2018-08-09",208.880005,109.669998,87.169998
"2018-08-10",207.529999,109,87.010002
"2018-08-13",208.869995,108.209999,87.010002
"2018-08-14",209.75,109.559998,87.730003
"2018-08-15",210.240005,107.660004,85.190002
"2018-08-16",213.320007,107.639999,85.32
"2018-08-17",217.580002,107.580002,85.449997
"2018-08-20",215.460007,106.870003,85.75
"2018-08-21",215.039993,105.980003,86.220001
"2018-08-22",215.050003,107.059998,86.949997
"2018-08-23",215.490005,107.559998,87.379997
"2018-08-24",216.160004,108.400002,90.099998
"2018-08-27",217.940002,109.599998,89.970001
"2018-08-28",219.699997,110.260002,90.610001
"2018-08-29",222.979996,112.019997,92.620003
"2018-08-30",225.029999,111.949997,92.089996
"2018-08-31",227.630005,112.330002,92.330002
"2018-09-04",228.360001,111.709999,93.07
"2018-09-05",226.869995,108.489998,89.050003
"2018-09-06",223.100006,108.739998,89
"2018-09-07",221.300003,108.209999,88.82
"2018-09-10",218.330002,109.379997,89.800003
